date,amount,category,total,
20130919,-6.944444444,Credit Card,0.67,-0.06944444444
20131207,-6.944444444,Credit Card,0.67,-0.06944444444
20140308,-5.555555556,Credit Card,0.68,-0.05555555556
20140608,-8.333333333,Credit Card,0.66,-0.08333333333
20140919,-6.944444444,Credit Card,0.67,-0.06944444444
20141207,-5.555555556,Credit Card,0.68,-0.05555555556
20150308,-2.777777778,Credit Card,0.7,-0.02777777778
20150608,-5.555555556,Credit Card,0.68,-0.05555555556
20150919,-2.777777778,Credit Card,0.7,-0.02777777778
20151207,-1.388888889,Credit Card,0.71,-0.01388888889
20160308,1.388888889,Credit Card,0.73,0.01388888889
20060608,0,Student,0.43,0
20060919,2.325581395,Student,0.44,0.02325581395
20061207,4.651162791,Student,0.45,0.04651162791
20070308,11.62790698,Student,0.48,0.1162790698
20070608,18.60465116,Student,0.51,0.1860465116
20070919,18.60465116,Student,0.51,0.1860465116
20071207,23.25581395,Student,0.53,0.2325581395
20080308,27.90697674,Student,0.55,0.2790697674
20080608,34.88372093,Student,0.58,0.3488372093
20080919,37.20930233,Student,0.59,0.3720930233
20081207,41.86046512,Student,0.61,0.4186046512
20090308,48.8372093,Student,0.64,0.488372093
20090608,53.48837209,Student,0.66,0.5348837209
20090919,58.13953488,Student,0.68,0.5813953488
20091207,60.46511628,Student,0.69,0.6046511628
20100308,67.44186047,Student,0.72,0.6744186047
20100608,76.74418605,Student,0.76,0.7674418605
20100919,76.74418605,Student,0.76,0.7674418605
20101207,81.39534884,Student,0.78,0.8139534884
20110308,88.37209302,Student,0.81,0.8837209302
20110608,95.34883721,Student,0.84,0.9534883721
20110919,97.6744186,Student,0.85,0.976744186
20111207,102.3255814,Student,0.87,1.023255814
20120308,102.3255814,Student,0.87,1.023255814
20120608,109.3023256,Student,0.9,1.093023256
20120919,111.627907,Student,0.91,1.11627907
20121207,123.255814,Student,0.96,1.23255814
20130308,125.5813953,Student,0.97,1.255813953
20130608,130.2325581,Student,0.99,1.302325581
20130919,130.2325581,Student,0.99,1.302325581
20131207,139.5348837,Student,1.03,1.395348837
20140308,151.1627907,Student,1.08,1.511627907
20140608,158.1395349,Student,1.11,1.581395349
20140919,160.4651163,Student,1.12,1.604651163
20141207,162.7906977,Student,1.13,1.627906977
20150308,169.7674419,Student,1.16,1.697674419
20150608,176.744186,Student,1.19,1.76744186
20150919,176.744186,Student,1.19,1.76744186
20151207,179.0697674,Student,1.2,1.790697674
20160308,186.0465116,Student,1.23,1.860465116
