date,amount,category,total,base rate
20061101,47.82608696,Student,6.8,4.6
20070201,44.06779661,Student,6.8,4.72
20070501,43.15789474,Student,6.8,4.75
20070801,45.61027837,Student,6.8,4.67
20071101,64.25120773,Student,6.8,4.14
20080201,81.81818182,Student,6.8,3.74
20080501,75.25773196,Student,6.8,3.88
20080801,54.63917526,Student,6,3.88
20081101,69.97167139,Student,6,3.53
20090201,109.0592334,Student,6,2.87
20090501,81.81818182,Student,6,3.3
20090801,55.98885794,Student,5.6,3.59
20091101,64.70588235,Student,5.6,3.4
20100201,51.76151762,Student,5.6,3.69
20100501,63.74269006,Student,5.6,3.42
20100801,66.66666667,Student,4.5,2.7
20101101,62.45487365,Student,4.5,2.77
20110201,25.69832402,Student,4.5,3.58
20110501,41.95583596,Student,4.5,3.17
20110801,49.12280702,Student,3.4,2.28
20111101,69.15422886,Student,3.4,2.01
20120201,72.58883249,Student,3.4,1.97
20120501,88.88888889,Student,3.4,1.8
20120801,102.3809524,Student,3.4,1.68
20121101,106.0606061,Student,3.4,1.65
20130201,71.71717172,Student,3.4,1.98
20130501,75.25773196,Student,3.4,1.94
20130801,40.87591241,Student,3.86,2.74
20131101,41.91176471,Student,3.86,2.72
20140201,42.43542435,Student,3.86,2.71
20140501,50.78125,Student,3.86,2.56
20140801,92.56198347,Student,4.66,2.42
20141101,100,Student,4.66,2.33
20150201,136.5482234,Student,4.66,1.97
20150501,111.8181818,Student,4.66,2.2
20150801,114.7465438,Student,4.66,2.17
20151101,89.82300885,Student,4.29,2.26
20160201,141.011236,Student,4.29,1.78
